Monthly extreme water levels 
The values are in meters relative to the most recent Mean Higher High Water (MHHW) datum established by CO-OPS
"Column values are the Year, Month, and Monthly Extremes"
Product of NOAA's National Ocean Service / Center for Operational Oceanographic Products and Services (CO-OPS)

Year,Month,MonthlyMaximaMHHW_meters
1893,Jan,0.216
1893,Feb,-0.058
1893,Mar,-0.088
1893,Apr,0.613
1893,May,0.369
1893,Jun,0.216
1893,Jul,0.003
1893,Aug,0.46
1893,Sep,-0.027
1893,Oct,0.186
1893,Nov,0.003
1893,Dec,0.003
1894,Jan,0.247
1894,Feb,0.216
1894,Mar,-0.027
1894,Apr,0.43
1894,May,0.338
1894,Jun,0.034
1894,Jul,0.064
1894,Aug,0.125
1894,Sep,0.338
1894,Oct,0.369
1894,Nov,0.003
1894,Dec,0.46
1895,Jan,0.338
1895,Feb,-0.149
1895,Mar,-0.058
1895,Apr,0.095
1895,May,-0.058
1895,Jun,0.064
1895,Jul,0.064
1895,Aug,-0.027
1895,Sep,0.064
1895,Oct,0.003
1895,Nov,0.247
1895,Dec,0.308
1896,Jan,0.095
1896,Feb,0.277
1896,Mar,0.216
1896,Apr,0.095
1896,May,0.034
1896,Jun,0.003
1896,Jul,-0.088
1896,Aug,-0.027
1896,Sep,0.338
1896,Oct,0.582
1896,Nov,0.46
1896,Dec,0.186
1897,Jan,-0.027
1897,Feb,0.247
1897,Mar,0.308
1897,Apr,0.003
1897,May,0.125
1897,Jun,0.247
1897,Jul,0.155
1897,Aug,0.155
1897,Sep,0.095
1897,Oct,0.521
1897,Nov,0.155
1897,Dec,0.155
1898,Jan,0.369
1898,Feb,0.277
1898,Mar,-0.119
1898,Apr,0.064
1898,May,0.43
1898,Jun,0.338
1898,Jul,0.095
1898,Aug,0.125
1898,Sep,-0.027
1898,Oct,0.46
1898,Nov,0.064
1898,Dec,0.43
1899,Jan,0.125
1899,Feb,0.491
1899,Mar,0.064
1899,Apr,0.064
1899,May,0.125
1899,Jun,0.003
1899,Jul,0.186
1899,Aug,0.216
1899,Sep,0.155
1899,Oct,0.125
1899,Nov,0.095
1899,Dec,0.277
1900,Jan,0.003
1900,Feb,0.064
1900,Mar,0.247
1900,Apr,0.095
1900,May,0.155
1900,Jun,-0.027
1900,Jul,-0.088
1900,Aug,0.125
1900,Sep,0.125
1900,Oct,0.186
1900,Nov,0.308
1900,Dec,0.338
1901,Jan,0.064
1901,Feb,-0.088
1901,Mar,0.155
1901,Apr,0.399
1901,May,0.338
1901,Jun,0.277
1901,Jul,0.003
1901,Aug,0.095
1901,Sep,0.125
1901,Oct,0.186
1901,Nov,0.735
1901,Dec,0.186
1902,Jan,0.369
1902,Feb,0.369
1902,Mar,0.034
1902,Apr,0.552
1902,May,0.155
1902,Jun,0.155
1902,Jul,0.277
1902,Aug,0.155
1902,Sep,0.125
1902,Oct,0.308
1902,Nov,0.338
1902,Dec,0.491
1903,Jan,-0.027
1903,Feb,0.186
1903,Mar,0.308
1903,Apr,0.552
1903,May,0.034
1903,Jun,0.399
1903,Jul,0.155
1903,Aug,0.155
1903,Sep,0.338
1903,Oct,0.613
1903,Nov,0.034
1903,Dec,0.064
1904,Jan,0.064
1904,Feb,0.247
1904,Mar,0.369
1904,Apr,0.186
1904,May,-0.027
1904,Jun,0.308
1904,Jul,0.155
1904,Aug,0.125
1904,Sep,0.186
1904,Oct,0.308
1904,Nov,0.308
1904,Dec,0.125
1905,Jan,0.46
1905,Feb,0.125
1905,Mar,0.308
1905,Apr,-0.027
1905,May,0.216
1905,Jun,0.064
1905,Jul,0.034
1905,Aug,0.155
1905,Sep,0.095
1905,Oct,0.186
1905,Nov,0.155
1905,Dec,0.095
1906,Jan,0.369
1906,Feb,0.399
1906,Mar,0.095
1906,Apr,0.338
1906,May,0.095
1906,Jun,0.338
1906,Jul,0.186
1906,Aug,0.064
1906,Sep,0.064
1906,Oct,0.277
1906,Nov,0.186
1906,Dec,0.216
1907,Jan,0.247
1907,Feb,-0.027
1907,Mar,-0.088
1907,Apr,0.064
1907,May,0.155
1907,Jun,0.216
1907,Jul,0.216
1907,Aug,0.155
1907,Sep,0.064
1907,Oct,-0.027
1907,Nov,0.216
1907,Dec,0.277
1908,Jan,0.308
1908,Feb,0.399
1908,Mar,0.034
1908,Apr,0.491
1908,May,0.064
1908,Jun,0.095
1908,Jul,0.125
1908,Aug,0.125
1908,Sep,0.064
1908,Oct,0.125
1908,Nov,0.186
1908,Dec,0.338
1909,Jan,0.095
1909,Feb,0.186
1909,Mar,0.46
